,strain,THC,CBD,Terpentines,MinorCanabanoids,Description,Feelings,HelpsWith,Negatives,type,rating,reviewCount
0,blue-dream,16–20% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",No relevant amounts,"Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing Blueberry with Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria.  
 With a sweet berry aroma redolent of its Blueberry parent, Blue Dream delivers swift symptom relief without heavy sedative effects. This makes Blue Dream a popular daytime medicine for patients treating pain, depression, nausea, and other ailments requiring a high THC strain. ","['Happy 60%', 'Euphoric 55%', 'Relaxed 51%', 'Uplifted 50%', 'Creative 40%']","['Stress 39%', 'Anxiety 30%', 'Depression 29%', 'Pain 28%', 'Insomnia 14%']","['Dry mouth 32%', 'Dry eyes 17%', 'Paranoid 7%', 'Dizzy 7%', 'Anxious 4%']",Hybrid,4.3 ,13067 reviews
1,gelato,14–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",No relevant amounts,"Gelato (also referred to as ""Larry Bird"") is a tantalizing hybrid cannabis strain from Cookie Fam and Sherbinski, following in the footsteps of its parents Sunset Sherbet and Thin Mint GSC. This Bay Area, California native gets its name from the fruity, dessert-like aroma, a common genetic thread among the Cookie family. Her buds tend to bloom in dark purple hues illuminated by fiery orange hairs and a shining white coat of crystal resin. Novice consumers may want to approach this THC powerhouse with caution, but those armed with a high tolerance will delight in Gelato’s heavy-handed euphoria. Physical relaxation comes on strong, but many find themselves still mentally agile enough to stay productive and creative when enjoying Gelato during the day.","['Relaxed 60%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 41%', 'Creative 30%']","['Stress 30%', 'Anxiety 24%', 'Depression 24%', 'Pain 21%', 'Insomnia 13%']","['Dry mouth 26%', 'Dry eyes 12%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']",Hybrid,4.7 ,1488 reviews
2,sour-diesel,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Sour Diesel, sometimes called Sour D, is an invigorating sativa-dominant strain named after its pungent, diesel-like aroma. This fast-acting strain delivers energizing, dreamy cerebral effects that have pushed Sour Diesel to its legendary status. Stress, pain, and depression fade away in long-lasting relief that makes Sour Diesel a top choice among medical patients. This strain took root in the early '90s, and it is believed to have descended from Chemdog 91 and Super Skunk.","['Happy 63%', 'Uplifted 54%', 'Euphoric 54%', 'Energetic 50%', 'Creative 43%']","['Stress 39%', 'Depression 29%', 'Anxiety 28%', 'Pain 24%', 'Fatigue 13%']","['Dry mouth 35%', 'Dry eyes 19%', 'Paranoid 10%', 'Dizzy 8%', 'Headache 5%']",Sativa,4.3 ,7550 reviews
3,wedding-cake,17–24% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Wedding Cake, also known as Pink Cookies, is the familial genetic cross of GSC and Cherry Pie. This delectable treat is rich with tangy sweet earth and pepper, taking notes and dimension from its OG and Durban Poison parentage. Enjoy this double dose of dense dankness with care, as certain farms have noted its extremely high THC content. 
  ","['Relaxed 67%', 'Happy 57%', 'Euphoric 46%', 'Uplifted 40%', 'Hungry 24%']","['Stress 27%', 'Depression 21%', 'Anxiety 18%', 'Pain 18%', 'Insomnia 11%']","['Dry mouth 21%', 'Dry eyes 11%', 'Dizzy 6%', 'Anxious 3%', 'Paranoid 2%']",Hybrid,4.6 ,878 reviews
4,gsc,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",No relevant amounts,"GSC, formerly known as Girl Scout Cookies, is an OG Kush and Durban Poison hybrid cross whose reputation grew too large to stay within the borders of its California homeland. With a sweet and earthy aroma, GSC launches you to euphoria’s top floor where full-body relaxation meets a time-bending cerebral space. A little goes a long way with this hybrid, whose THC heights have won GSC numerous Cannabis Cup awards. Patients needing a strong dose of relief, however, may look to GSC for severe pain, nausea, and appetite loss. 
 There are several different phenotypes of the GSC strain including Thin Mint and Platinum GSC, which exhibit some variation in appearance and effect. Typically, however, GSC expresses its beauty in twisting green calyxes wrapped in purple leaves and fiery orange hairs. Patients and consumers looking to cultivate this cannabis staple themselves should wait 9 to 10 weeks for their indoor plants to finish flowering.","['Happy 63%', 'Relaxed 59%', 'Euphoric 54%', 'Uplifted 47%', 'Creative 35%']","['Stress 36%', 'Depression 28%', 'Pain 27%', 'Anxiety 27%', 'Insomnia 14%']","['Dry mouth 27%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']",Hybrid,4.4 ,6936 reviews
5,purple-punch,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Pinene']",No relevant amounts,"Purple Punch is the sweet and sedating union of two indica-dominant classics. By breeding Larry OG with Granddaddy Purple, the astonishing trichome laden Purple Punch was born, smelling of grape candy, blueberry muffins, and tart Kool-Aid. The potency of this strain gives the consumer a one-two punch to the head and body, initially landing between the eyes and settling down into the limbs. Purple Punch is a delicious dessert strain that is best suited for after dinner. Its effects may help with managing nausea, stress, minor body aches, and sleeplessness.","['Relaxed 78%', 'Happy 52%', 'Euphoric 47%', 'Sleepy 44%', 'Uplifted 31%']","['Stress 34%', 'Anxiety 29%', 'Pain 27%', 'Depression 27%', 'Insomnia 25%']","['Dry mouth 27%', 'Dry eyes 15%', 'Dizzy 7%', 'Anxious 3%', 'Headache 3%']",Indica,4.6 ,771 reviews
6,og-kush,16–20% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",No relevant amounts,"OG Kush was first cultivated in Florida, in the early ‘90s when a strain from Northern California was crossed with a Hindu Kush plant from Amsterdam. The result was a hybrid with a unique terpene profile that boasts a complex aroma with notes of fuel, skunk, and spice.  
 The genetic backbone of West Coast cannabis varieties, OG Kush arrived in Los Angeles in 1996 when Matt “Bubba” Berger brought it (along with “The Bubba,” which was later used to create the famed Bubba Kush) from Florida to legendary cultivator Josh D. Since then, OG Kush has become a worldwide staple used to create numerous famous strains like GSC and Headband. There are many different phenotypes of OG Kush, including Tahoe OG, SFV OG, and Ghost OG.","['Happy 60%', 'Relaxed 55%', 'Euphoric 54%', 'Uplifted 41%', 'Hungry 33%']","['Stress 42%', 'Anxiety 31%', 'Pain 31%', 'Depression 26%', 'Insomnia 23%']","['Dry mouth 38%', 'Dry eyes 23%', 'Paranoid 9%', 'Dizzy 9%', 'Headache 5%']",Hybrid,4.3 ,5082 reviews
7,original-glue,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",No relevant amounts,"Original Glue (GG4), developed by GG Strains, is a potent hybrid strain that delivers heavy-handed euphoria and relaxation, leaving you feeling “glued” to the couch. Its chunky, resin-covered buds fill the room with pungent earthy and sour aromas inherited from its parent strains, Chem’s Sister, Sour Dubb, and Chocolate Diesel. Taking first place in both the Michigan and Los Angeles 2014 Cannabis Cups as well as the High Times Jamaican World Cup, this multiple award-winning hybrid's supremacy is no longer a secret, and consumers will search far and wide to get their hands sticky with Original Glue (GG4).","['Relaxed 71%', 'Happy 58%', 'Euphoric 55%', 'Uplifted 42%', 'Sleepy 29%']","['Stress 34%', 'Pain 27%', 'Depression 27%', 'Anxiety 24%', 'Insomnia 20%']","['Dry mouth 27%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']",Hybrid,4.7 ,4036 reviews
8,jack-herer,15–19% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Myrcene']",No relevant amounts,"Jack Herer is a sativa-dominant cannabis strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both cerebral elevation and heavy resin production. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative. 
 Jack Herer was created in the Netherlands in the mid-1990s, where it was later distributed by Dutch pharmacies as a recognized medical-grade strain. Since then, this spicy, pine-scented strain has taken home numerous awards for its quality and potency. Many breeders have attempted to cultivate this staple strain themselves in sunny or Mediterranean climates, and indoor growers should wait 50 to 70 days for Jack Herer to flower.","['Happy 57%', 'Uplifted 53%', 'Euphoric 49%', 'Energetic 48%', 'Creative 44%']","['Stress 38%', 'Depression 30%', 'Anxiety 29%', 'Pain 22%', 'Fatigue 15%']","['Dry mouth 27%', 'Dry eyes 16%', 'Paranoid 6%', 'Dizzy 6%', 'Anxious 4%']",Sativa,4.3 ,4236 reviews
9,green-crack,15–18% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",No relevant amounts,"Don’t let the name fool you: this is pure cannabis. Few strains compare to Green Crack’s sharp energy and focus as it induces an invigorating mental buzz that keeps you going throughout the day. With a tangy, fruity flavor redolent of mango, Green Crack is a great daytime strain that may help consumers fight fatigue, stress, and depression. Because its name perpetuates a negative image of cannabis, some people have taken to calling this strain Cush (with a ‘C’) or Green Cush instead.","['Energetic 64%', 'Happy 57%', 'Uplifted 55%', 'Euphoric 46%', 'Focused 42%']","['Stress 37%', 'Anxiety 29%', 'Depression 28%', 'Pain 20%', 'Fatigue 18%']","['Dry mouth 29%', 'Dry eyes 17%', 'Paranoid 9%', 'Anxious 7%', 'Dizzy 6%']",Sativa,4.3 ,6234 reviews
